//金庸群侠传X资源字符串，版本：1.4，作者：SoftMgr
//如果要修改（或翻译），规则如下：
//1.本资源文件中的所有字符串都可以修改，但最好是保留原格式。
//2.lua文件理论上可以全部修改，但需要检查与本资源文件的一致性。
//3.resource.xml文件中包含的路径（即包含“/”字符的字符串），注意修改后的文件是否存在以及与index.xml的一致性。
//4.items.xml文件的“trigger name”和“require name”不能修改。
//5.未特别说明的xml文件理论上都可以修改，但需要检查与本资源文件的一致性。
//6.xml文件全部修改完成后，注意检查与本资源文件的一致性。
//////////////////以下为资源字符串//////////////////
0,主角
1,帐篷
2,大地图
3,【{0}】加入队伍。
4,【{0}】离开队伍。
5,【全体队友】离开队伍。
6,提示
7,【{0}】随队行动（非战斗角色）。
8,【{0}】离开（非战斗角色）。
9,女主
10,好感提高{0}点
11,好感降低{0}点
12,道德值提高{0}点
13,道德值降低{0}点
14,得到 {0} x {1}
15,失去 {0} x {1}
16,音效.升级
17,音效.装备
18,接到新手任务：{0}
19,加入门派失败！似乎没有这个门派：{0}
20,加入【{0}】。
21,获得成就：【{0}】！
22,得到 {0} 两银子。
23,失去 {0} 两银子。
24,得到元宝 {0}。
25,失去元宝 {0}。
26,没有找到该物品：{0}。
27,一共用了{0}天...
28,过了{0}个时辰...
29,{0}属性分配点增加【{1}】！
30,{0}属性分配点减少【{1}】！
31,{0}气血、内力、全属性降为【{1}成】！
32,{0}气血、内力、全属性提升为【{1}成】！
33,{0}气血上限增加【{1}】！
34,{0}气血上限减少【{1}】！
35,{0}内力上限增加【{1}】！
36,{0}内力上限减少【{1}】！
37,{0}根骨增加【{1}】！
38,{0}根骨减少【{1}】！
39,{0}身法增加【{1}】！
40,{0}身法减少【{1}】！
41,{0}悟性增加【{1}】！
42,{0}悟性减少【{1}】！
43,{0}臂力增加【{1}】！
44,{0}臂力减少【{1}】！
45,{0}福缘增加【{1}】！
46,{0}福缘减少【{1}】！
47,{0}定力增加【{1}】！
48,{0}定力减少【{1}】！
49,{0}搏击格斗增加【{1}】！
50,{0}搏击格斗减少【{1}】！
51,{0}使剑技巧增加【{1}】！
52,{0}使剑技巧减少【{1}】！
53,{0}耍刀技巧增加【{1}】！
54,{0}耍刀技巧减少【{1}】！
55,{0}奇门兵器增加【{1}】！
56,{0}奇门兵器减少【{1}】！
57,{0}掌握了武功【{1}】({2}级)！
58,{0}的武功【{1}】已经到达等级上限({2}级)，无法再提升了！
59,{0}的武功【{1}】提升了{2}级！
60,{0}掌握了内功【{1}】({2}级)！
61,{0}的内功【{1}】已经到达等级上限({2}级)！无法再提升了！
62,{0}的内功【{1}】提升了{2}级！
63,{0}掌握了{1}【{2}】！
64,{0}领悟了天赋【{1}】！
65,{0}移除了天赋【{1}】！
66,玲兰
67,解锁技能精通！{0}的等级上限提升至{1}
68,返回
69,角色【{0}】改变性别失败！（不在队伍中）
70,【{0}】加入暂时队伍（非战斗角色）。
71,【{0}】已成为{1}的后宫。
72,【{0}】已离开{1}的后宫。
73,{0}已装备【{1}】
74,不满足装备条件，{0}不能装备【{1}】！
75,确认
76,物品列表
77,装备列表
78,秘籍列表
79,消耗品列表
80,特殊物品列表
81,任务物品列表
82,任务品
83,选择要使用的战场消耗品
84,{0}等级已经达到上限({1}级)，不能再提高了
85,错误
86,错误：没有该技能【{0}】
87,已变性为【女】！
88,已变性为【男】！
89,装备选取错误
90,你的人物不满足物品要求的条件，需要：\n[[red:{0}]]
91,不能使用，该技能书没有正确定义！
92,不能使用，该角色已经学会该项技能：【{0}】
93,{0}没有天赋【{1}】，移除天赋失败！
94,不能使用，该天赋书没有正确定义！
95,不能使用，该天赋书没有天赋！
96,不能使用，{0}已经具有天赋：【{1}】
97,不能使用，{0}剩余武学常识不够。需要：{1}
98,刀
99,无法阉割
100,只有男性可以自宫~
101,南贤
102,已经阉割过了！想割也没得割喽~
103,{0}已经变成了太监！从今以后可以重新做人，开启第二人生了。
104,{0}减少最大气血{1}点！ T_T
105,{0}减少最大内力{1}点！ T_T
106,洗练书
107,{0}的技能【{1}】移除了！
108,音效.恢复2
109,性格转化剂
110,性格
111,{0} 性格已改变！
112,小虾米
113,{0}已改名为：{1}
114,改名失败！队伍中没有这个人物：{0}
115,{0}|{1}已改名为：{2}
116,{0}|改名失败！队伍中没有这个人物：{1}
117,{0}|改名失败！
118,全部
119,【{0}】指令有误
120,选择要锻造的装备
121,确认(不使用元宝)
122,确认(使用元宝增加成功率)
123,取消
124,确认要锻造装备？
125,已取消锻造！
